name,pathsgurobi,flatintvarsgurobi,flatintconstraintsgurobi,flattimegurobi
benchmark_puzzles/benchmarks3x3/10/puzzle16.txt,0.0,117.0,62.0,0.114215
benchmark_puzzles/benchmarks3x3/15/puzzle5.txt,0.0,207.0,190.0,0.100846
benchmark_puzzles/benchmarks3x3/15/puzzle6.txt,0.0,135.0,93.0,0.101652
benchmark_puzzles/benchmarks3x3/15/puzzle8.txt,0.0,117.0,62.0,0.102574
benchmark_puzzles/benchmarks3x3/15/puzzle16.txt,0.0,117.0,62.0,0.104467
benchmark_puzzles/benchmarks3x3/15/puzzle17.txt,0.0,135.0,90.0,0.103244
benchmark_puzzles/benchmarks3x3/20/puzzle4.txt,0.0,117.0,62.0,0.10736
benchmark_puzzles/benchmarks3x3/20/puzzle5.txt,0.0,207.0,190.0,0.11689
benchmark_puzzles/benchmarks3x3/20/puzzle6.txt,0.0,198.0,161.0,0.116578
benchmark_puzzles/benchmarks3x3/20/puzzle8.txt,0.0,117.0,62.0,0.112648
benchmark_puzzles/benchmarks3x3/20/puzzle9.txt,0.0,135.0,84.0,0.114687
benchmark_puzzles/benchmarks3x3/20/puzzle10.txt,0.0,117.0,62.0,0.108347
benchmark_puzzles/benchmarks3x3/20/puzzle11.txt,0.0,144.0,95.0,0.111523
benchmark_puzzles/benchmarks3x3/20/puzzle12.txt,0.0,117.0,62.0,0.109655
benchmark_puzzles/benchmarks3x3/20/puzzle13.txt,0.0,297.0,270.0,0.117398
benchmark_puzzles/benchmarks3x3/20/puzzle14.txt,0.0,189.0,168.0,0.113337
benchmark_puzzles/benchmarks3x3/20/puzzle15.txt,0.0,117.0,62.0,0.108257
benchmark_puzzles/benchmarks3x3/20/puzzle16.txt,0.0,117.0,62.0,0.108402
benchmark_puzzles/benchmarks3x3/20/puzzle17.txt,0.0,135.0,93.0,0.105937
benchmark_puzzles/benchmarks3x3/20/puzzle18.txt,0.0,243.0,222.0,0.138521
benchmark_puzzles/benchmarks3x3/20/puzzle19.txt,0.0,117.0,62.0,0.123856
benchmark_puzzles/benchmarks3x3/25/puzzle1.txt,0.0,135.0,93.0,0.114414
benchmark_puzzles/benchmarks3x3/25/puzzle3.txt,0.0,279.0,224.0,0.111615
benchmark_puzzles/benchmarks3x3/25/puzzle4.txt,0.0,117.0,62.0,0.109603
benchmark_puzzles/benchmarks3x3/25/puzzle5.txt,0.0,207.0,190.0,0.109707
benchmark_puzzles/benchmarks3x3/25/puzzle6.txt,0.0,243.0,207.0,0.115446
benchmark_puzzles/benchmarks3x3/25/puzzle7.txt,0.0,117.0,62.0,0.0989368
benchmark_puzzles/benchmarks3x3/25/puzzle8.txt,0.0,252.0,218.0,0.113025
benchmark_puzzles/benchmarks3x3/25/puzzle9.txt,0.0,234.0,214.0,0.104909
benchmark_puzzles/benchmarks3x3/25/puzzle10.txt,0.0,306.0,257.0,0.113002
benchmark_puzzles/benchmarks3x3/25/puzzle11.txt,0.0,144.0,95.0,0.102708
benchmark_puzzles/benchmarks3x3/25/puzzle12.txt,0.0,189.0,141.0,0.0992888
benchmark_puzzles/benchmarks3x3/25/puzzle13.txt,0.0,351.0,303.0,0.110692
benchmark_puzzles/benchmarks3x3/25/puzzle14.txt,0.0,243.0,216.0,0.107474
benchmark_puzzles/benchmarks3x3/25/puzzle15.txt,0.0,180.0,139.0,0.11284
benchmark_puzzles/benchmarks3x3/25/puzzle16.txt,0.0,207.0,190.0,0.10904
benchmark_puzzles/benchmarks3x3/25/puzzle17.txt,0.0,189.0,132.0,0.110915
benchmark_puzzles/benchmarks3x3/25/puzzle18.txt,0.0,351.0,294.0,0.109743
benchmark_puzzles/benchmarks3x3/25/puzzle19.txt,0.0,117.0,62.0,0.122143
benchmark_puzzles/benchmarks3x3/25/puzzle20.txt,0.0,153.0,97.0,0.127437
benchmark_puzzles/benchmarks3x3/30/puzzle1.txt,0.0,162.0,126.0,0.103342
benchmark_puzzles/benchmarks3x3/30/puzzle3.txt,0.0,297.0,237.0,0.115625
benchmark_puzzles/benchmarks3x3/30/puzzle4.txt,0.0,162.0,108.0,0.133974
