,column_complete,column_empty,highest_column_sum,highest_max_column,highest_max_row,highest_max_subgrid,highest_occ_puzzle,highest_row_sum,highest_subgrid_sum,iqr_puzzle,largest_column,largest_row,largest_subgrid,least_column_sum,least_condition_bin,least_condition_for_solution,least_highest_column,least_highest_row,least_highest_subgrid,least_max_column,least_max_row,least_max_subgrid,least_row_sum,least_subgrid_sum,lowest_occ_puzzle,max_clique,max_degree,max_num_edges,max_occurence,maxmissing_num_edges,maxratio_row,mean_add,mean_mul,mean_puzzle,min_occurence,minmax_column,minmax_row,minmax_subgrid,minratio_column,minratio_row,minratio_subgrid,missing_domain,missing_nodes,multiply_size,name_puzzle,num_domain,num_nodes,occ_max,occ_min,order_puzzle,percent_puzzle,puzzle_diagonal,range_max_clique,rangeminmax_subgrid,rangemintotalsubgrid,row_complete,row_empty,sd_column_add,sd_row_add,sd_subgrid_add,sdsize_row,sdsizesubgrid,set_cover,size_diagonal,size_puzzle,smallest_column,smallest_row,smallest_subgrid,subgrids_complete,subgrids_empty,sum_puzzle,sum_ratio_puzzle,total_edges,flatintvarschuf,flatintconstraintschuf,flattimechuf,comtime,algo
319,6.0,0.0,136.0,1.0,1.0,1.0,4.0,136.0,136.0,8.25,16.0,16.0,16.0,98.0,1.0,16.0,0.7205882352941176,0.7794117647058824,0.7867647058823529,0.7205882352941176,0.7794117647058824,0.7867647058823529,106.0,107.0,9.0,16.0,39.0,4563.0,11.0,429.0,1.0,136.0,20922789888000.0,7.78125,9.0,0.75,0.75,0.8125,0.75,0.75,0.8125,0.0,22.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle13.txt,16.0,234.0,16.0,12.0,4.0,91.40625,1.0,0.0,3.0,0.0,4.0,0.0,16.431676725154983,14.735162028291375,14.551632210855248,1.2041594578792296,1.0878112581387147,1.0,16.0,16.0,12.0,12.0,13.0,3.0,0.0,184.0,0.9154411764705882,4992.0,22.0,48.0,0.0336464,0.29441133333333336,cplex
320,5.0,0.0,136.0,1.0,1.0,1.0,5.0,136.0,136.0,9.0,16.0,16.0,16.0,107.0,1.0,16.0,0.7867647058823529,0.7426470588235294,0.8235294117647058,0.7867647058823529,0.7426470588235294,0.8235294117647058,101.0,112.0,10.0,16.0,39.0,4504.0,5.0,488.0,1.0,136.0,20922789888000.0,7.7890625,10.0,0.75,0.8125,0.75,0.75,0.8125,0.75,0.0,25.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle17.txt,16.0,231.0,16.0,12.0,4.0,90.234375,0.0,0.0,4.0,0.0,3.0,0.0,15.596473960482221,14.633010626661896,14.461154863979571,1.0935416468216166,1.2093386622447824,1.0,15.0,16.0,12.0,13.0,12.0,4.0,0.0,182.0,0.9163602941176471,4992.0,25.0,48.0,0.0353412,0.3121526666666667,cplex
321,4.0,0.0,136.0,1.0,1.0,1.0,2.0,136.0,136.0,9.0,16.0,16.0,16.0,88.0,1.0,16.0,0.6470588235294118,0.6691176470588235,0.625,0.6470588235294118,0.6691176470588235,0.625,91.0,85.0,9.0,16.0,39.0,4387.0,11.0,605.0,1.0,136.0,20922789888000.0,7.47265625,9.0,0.6875,0.75,0.6875,0.6875,0.75,0.6875,0.0,31.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle19.txt,16.0,225.0,16.0,11.0,4.0,87.890625,0.0,0.0,5.0,0.0,3.0,0.0,21.50436002302789,20.71985762499347,21.44906757880165,1.2365947867699696,1.4361406616345072,1.0,15.0,16.0,11.0,12.0,11.0,4.0,0.0,263.0,0.8791360294117647,4992.0,31.0,48.0,0.038180800000000015,0.3089323333333333,cplex
322,4.0,0.0,136.0,1.0,1.0,1.0,4.0,136.0,136.0,9.0,16.0,16.0,16.0,86.0,1.0,16.0,0.6323529411764706,0.7720588235294118,0.7132352941176471,0.6323529411764706,0.7720588235294118,0.7132352941176471,105.0,97.0,10.0,16.0,39.0,4387.0,11.0,605.0,1.0,136.0,20922789888000.0,7.3984375,10.0,0.6875,0.75,0.6875,0.6875,0.75,0.6875,0.0,31.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle20.txt,16.0,225.0,16.0,11.0,4.0,87.890625,0.0,0.0,5.0,0.0,3.0,0.0,22.931964590937252,20.92247595290768,21.453437952924933,1.2365947867699696,1.4361406616345072,1.0,15.0,16.0,11.0,12.0,11.0,4.0,0.0,282.0,0.8704044117647058,4992.0,31.0,48.0,0.0334538,0.35203300000000004,cplex
323,2.0,0.0,136.0,1.0,1.0,1.0,4.0,136.0,136.0,9.0,16.0,16.0,16.0,91.0,1.0,16.0,0.6691176470588235,0.5588235294117647,0.6691176470588235,0.6691176470588235,0.5588235294117647,0.6691176470588235,76.0,91.0,5.0,16.0,39.0,4407.0,4.0,585.0,1.0,136.0,20922789888000.0,7.375,5.0,0.75,0.6875,0.6875,0.75,0.6875,0.6875,0.0,30.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle3.txt,16.0,226.0,16.0,11.0,4.0,88.28125,1.0,0.0,5.0,0.0,1.0,0.0,21.988633427296023,22.991846380836837,22.56379843909265,1.0878112581387147,1.3601470508735443,1.0,16.0,16.0,12.0,11.0,11.0,2.0,0.0,288.0,0.8676470588235294,4992.0,30.0,48.0,0.034487300000000005,0.30451700000000004,cplex
324,5.0,0.0,136.0,1.0,1.0,1.0,9.0,136.0,136.0,8.0,16.0,16.0,16.0,105.0,1.0,16.0,0.7720588235294118,0.75,0.75,0.7720588235294118,0.75,0.75,102.0,102.0,5.0,16.0,39.0,4602.0,9.0,390.0,1.0,136.0,20922789888000.0,7.94140625,5.0,0.75,0.75,0.8125,0.75,0.75,0.8125,0.0,20.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle6.txt,16.0,236.0,16.0,13.0,4.0,92.1875,0.0,0.0,3.0,0.0,4.0,0.0,13.329947486768281,12.572290960680158,13.745453793891274,1.0645812948447542,1.1832159566199232,1.0,15.0,16.0,12.0,12.0,13.0,6.0,0.0,143.0,0.9342830882352942,4992.0,20.0,48.0,0.0344426,0.289562,cplex
325,4.0,0.0,136.0,1.0,1.0,1.0,1.0,136.0,136.0,8.0,16.0,16.0,16.0,101.0,1.0,16.0,0.7426470588235294,0.7941176470588235,0.6323529411764706,0.7426470588235294,0.7941176470588235,0.6323529411764706,108.0,86.0,15.0,16.0,39.0,4621.0,5.0,371.0,1.0,136.0,20922789888000.0,7.85546875,15.0,0.8125,0.75,0.75,0.8125,0.75,0.75,0.0,19.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle9.txt,16.0,237.0,16.0,13.0,4.0,92.578125,1.0,0.0,4.0,0.0,3.0,0.0,13.690781570093067,13.315873985585775,16.242305870780786,0.9810708435174292,1.2230426539304888,1.0,16.0,16.0,13.0,12.0,12.0,6.0,0.0,165.0,0.9241727941176471,4992.0,19.0,48.0,0.035175800000000014,0.29336700000000004,cplex
326,2.0,0.0,136.0,1.0,1.0,1.0,4.0,136.0,136.0,9.0,16.0,16.0,16.0,93.0,1.0,16.0,0.6838235294117647,0.6102941176470589,0.6544117647058824,0.6838235294117647,0.6102941176470589,0.6544117647058824,83.0,89.0,11.0,16.0,39.0,4407.0,4.0,585.0,1.0,136.0,20922789888000.0,7.33984375,11.0,0.8125,0.6875,0.75,0.8125,0.6875,0.75,0.0,30.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/15/puzzle1.txt,16.0,226.0,16.0,11.0,4.0,88.28125,0.0,0.0,4.0,0.0,3.0,0.0,22.294898519616545,24.92112557650637,23.177305710543667,1.4548768561863463,1.408308678285174,1.0,15.0,16.0,13.0,11.0,12.0,4.0,0.0,297.0,0.8635110294117647,4992.0,30.0,48.0,0.0344115,0.30909833333333336,cplex
327,0.0,0.0,132.0,0.9705882352941176,1.0,1.0,3.0,136.0,136.0,9.0,15.0,16.0,16.0,85.0,1.0,16.0,0.6439393939393939,0.5073529411764706,0.6029411764705882,0.625,0.5073529411764706,0.6029411764705882,69.0,82.0,15.0,16.0,39.0,4095.0,7.0,897.0,1.0,136.0,20922789888000.0,6.8125,15.0,0.7333333333333333,0.625,0.625,0.6875,0.625,0.625,0.0,46.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/15/puzzle11.txt,16.0,210.0,15.0,11.0,4.0,82.03125,0.0,0.0,6.0,0.0,1.0,0.0,29.85381047705636,32.264531609803356,30.27168644129362,1.5864005379054391,1.5438048235879214,1.0,14.0,16.0,11.0,10.0,10.0,1.0,0.0,432.0,0.8014705882352942,4992.0,46.0,48.0,0.0364831,0.346742,cplex
328,0.0,0.0,131.0,0.9632352941176471,1.0,1.0,2.0,136.0,136.0,10.0,15.0,16.0,16.0,97.0,1.0,16.0,0.7404580152671756,0.6838235294117647,0.6985294117647058,0.7132352941176471,0.6838235294117647,0.6985294117647058,93.0,95.0,5.0,16.0,39.0,4212.0,15.0,780.0,1.0,136.0,20922789888000.0,7.2578125,5.0,0.6666666666666666,0.625,0.6875,0.625,0.625,0.6875,0.0,40.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/15/puzzle12.txt,16.0,216.0,15.0,11.0,4.0,84.375,0.0,0.0,5.0,0.0,2.0,0.0,21.9260119492807,24.302777619029477,22.715633383201094,1.7511900715418263,1.3165611772087666,1.0,15.0,16.0,10.0,10.0,11.0,2.0,0.0,318.0,0.8538602941176471,4992.0,40.0,48.0,0.036793300000000015,0.324736,cplex
