,column_complete,column_empty,highest_column_sum,highest_max_column,highest_max_row,highest_max_subgrid,highest_occ_puzzle,highest_row_sum,highest_subgrid_sum,iqr_puzzle,largest_column,largest_row,largest_subgrid,least_column_sum,least_condition_bin,least_condition_for_solution,least_highest_column,least_highest_row,least_highest_subgrid,least_max_column,least_max_row,least_max_subgrid,least_row_sum,least_subgrid_sum,lowest_occ_puzzle,max_clique,max_degree,max_num_edges,max_occurence,maxmissing_num_edges,maxratio_row,mean_add,mean_mul,mean_puzzle,min_occurence,minmax_column,minmax_row,minmax_subgrid,minratio_column,minratio_row,minratio_subgrid,missing_domain,missing_nodes,multiply_size,name_puzzle,num_domain,num_nodes,occ_max,occ_min,order_puzzle,percent_puzzle,puzzle_diagonal,range_max_clique,rangeminmax_subgrid,rangemintotalsubgrid,row_complete,row_empty,sd_column_add,sd_row_add,sd_subgrid_add,sdsize_row,sdsizesubgrid,set_cover,size_diagonal,size_puzzle,smallest_column,smallest_row,smallest_subgrid,subgrids_complete,subgrids_empty,sum_puzzle,sum_ratio_puzzle,total_edges,flatintvarschuf,flatintconstraintschuf,flattimechuf,comtime,algo
380,4.0,0.0,136.0,1.0,1.0,1.0,5.0,136.0,136.0,9.0,16.0,16.0,16.0,80.0,1.0,16.0,0.5882352941176471,0.8014705882352942,0.7426470588235294,0.5882352941176471,0.8014705882352942,0.7426470588235294,109.0,101.0,14.0,16.0,39.0,4543.0,16.0,449.0,1.0,136.0,20922789888000.0,7.83984375,14.0,0.5625,0.8125,0.8125,0.5625,0.8125,0.8125,0.0,23.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle1.txt,16.0,233.0,16.0,13.0,4.0,91.015625,0.0,0.0,3.0,0.0,3.0,0.0,17.318703762117995,13.390761740842079,14.43303502386106,0.963932916061417,1.0307764064044151,1.0,13.0,16.0,9.0,13.0,13.0,3.0,0.0,169.0,0.9223345588235294,4992.0,23.0,48.0,0.0354891,0.0021136666666666673,sima
381,4.0,0.0,136.0,1.0,1.0,1.0,11.0,136.0,136.0,9.0,16.0,16.0,16.0,108.0,1.0,16.0,0.7941176470588235,0.7647058823529411,0.8088235294117647,0.7941176470588235,0.7647058823529411,0.8088235294117647,104.0,110.0,3.0,16.0,39.0,4504.0,14.0,488.0,1.0,136.0,20922789888000.0,7.7734375,3.0,0.75,0.6875,0.75,0.75,0.6875,0.75,0.0,25.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle10.txt,16.0,231.0,16.0,11.0,4.0,90.234375,0.0,0.0,4.0,0.0,4.0,0.0,14.551632210855248,15.198684153570664,14.221462653327892,1.459166428707386,1.0935416468216166,1.0,15.0,16.0,12.0,11.0,12.0,3.0,0.0,186.0,0.9145220588235294,4992.0,25.0,48.0,0.0368337,0.004176666666666665,sima
382,4.0,0.0,136.0,1.0,1.0,1.0,1.0,136.0,136.0,9.0,16.0,16.0,16.0,96.0,1.0,16.0,0.7058823529411765,0.6470588235294118,0.6691176470588235,0.7058823529411765,0.6470588235294118,0.6691176470588235,88.0,91.0,7.0,16.0,39.0,4582.0,1.0,410.0,1.0,136.0,20922789888000.0,7.703125,7.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,21.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle11.txt,16.0,235.0,16.0,13.0,4.0,91.796875,0.0,0.0,4.0,0.0,3.0,0.0,16.511359725958368,17.208282889353022,17.961764946686056,1.0781929326423914,1.25,1.0,15.0,16.0,12.0,12.0,12.0,5.0,0.0,204.0,0.90625,4992.0,21.0,48.0,0.0381252,0.002704,sima
383,3.0,0.0,136.0,1.0,0.9779411764705882,1.0,1.0,133.0,136.0,9.0,16.0,15.0,16.0,99.0,1.0,16.0,0.7279411764705882,0.7518796992481203,0.6691176470588235,0.7279411764705882,0.7352941176470589,0.6691176470588235,100.0,91.0,16.0,16.0,39.0,4407.0,1.0,585.0,0.9375,136.0,20922789888000.0,7.375,16.0,0.75,0.8,0.75,0.75,0.75,0.75,0.0,30.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle12.txt,16.0,226.0,16.0,12.0,4.0,88.28125,0.0,0.0,4.0,0.0,0.0,0.0,21.40969406600664,20.8806130178211,22.45551157288562,0.9574271077563381,1.3102162671355697,1.0,15.0,16.0,12.0,12.0,12.0,2.0,0.0,288.0,0.8676470588235294,4992.0,30.0,48.0,0.034749,0.010301333333333334,sima
384,6.0,0.0,136.0,1.0,1.0,1.0,4.0,136.0,136.0,8.25,16.0,16.0,16.0,98.0,1.0,16.0,0.7205882352941176,0.7794117647058824,0.7867647058823529,0.7205882352941176,0.7794117647058824,0.7867647058823529,106.0,107.0,9.0,16.0,39.0,4563.0,11.0,429.0,1.0,136.0,20922789888000.0,7.78125,9.0,0.75,0.75,0.8125,0.75,0.75,0.8125,0.0,22.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle13.txt,16.0,234.0,16.0,12.0,4.0,91.40625,1.0,0.0,3.0,0.0,4.0,0.0,16.431676725154983,14.735162028291375,14.551632210855248,1.2041594578792296,1.0878112581387147,1.0,16.0,16.0,12.0,12.0,13.0,3.0,0.0,184.0,0.9154411764705882,4992.0,22.0,48.0,0.0336464,0.0017223333333333335,sima
385,6.0,0.0,136.0,1.0,1.0,1.0,1.0,136.0,136.0,9.0,16.0,16.0,16.0,87.0,1.0,16.0,0.6397058823529411,0.5661764705882353,0.6176470588235294,0.6397058823529411,0.5661764705882353,0.6176470588235294,77.0,84.0,11.0,16.0,39.0,4524.0,1.0,468.0,1.0,136.0,20922789888000.0,7.58203125,11.0,0.75,0.6875,0.75,0.75,0.6875,0.75,0.0,24.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle14.txt,16.0,232.0,16.0,12.0,4.0,90.625,0.0,0.0,4.0,0.0,3.0,0.0,20.864143883706323,21.102428770167666,21.355619869252216,1.3165611772087666,1.505545305418162,1.0,14.0,16.0,12.0,11.0,12.0,5.0,0.0,235.0,0.8920036764705882,4992.0,24.0,48.0,0.036122900000000006,0.004070666666666667,sima
386,4.0,0.0,136.0,1.0,1.0,1.0,2.0,136.0,136.0,8.0,16.0,16.0,16.0,111.0,1.0,16.0,0.8161764705882353,0.7279411764705882,0.8161764705882353,0.8161764705882353,0.7279411764705882,0.8161764705882353,99.0,111.0,4.0,16.0,39.0,4641.0,16.0,351.0,1.0,136.0,20922789888000.0,8.00390625,4.0,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.0,18.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle15.txt,16.0,238.0,16.0,13.0,4.0,92.96875,0.0,0.0,3.0,0.0,6.0,0.0,11.025538535599972,12.86225096940656,11.861176164276458,1.0878112581387147,1.02469507659596,1.0,13.0,16.0,13.0,13.0,13.0,5.0,0.0,127.0,0.9416360294117647,4992.0,18.0,48.0,0.034411000000000004,0.0019293333333333328,sima
387,2.0,0.0,136.0,1.0,1.0,1.0,4.0,136.0,136.0,9.0,16.0,16.0,16.0,96.0,1.0,16.0,0.7058823529411765,0.7794117647058824,0.7941176470588235,0.7058823529411765,0.7794117647058824,0.7941176470588235,106.0,108.0,1.0,16.0,39.0,4465.0,14.0,527.0,1.0,136.0,20922789888000.0,7.76953125,1.0,0.6875,0.75,0.75,0.6875,0.75,0.75,0.0,27.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle16.txt,16.0,229.0,16.0,10.0,4.0,89.453125,0.0,0.0,4.0,0.0,3.0,0.0,16.12257733738623,15.441421566682259,15.196627915429133,1.1954775893619531,1.3022416570411703,1.0,15.0,16.0,11.0,12.0,12.0,4.0,0.0,187.0,0.9140625,4992.0,27.0,48.0,0.0360164,0.002571666666666667,sima
388,5.0,0.0,136.0,1.0,1.0,1.0,5.0,136.0,136.0,9.0,16.0,16.0,16.0,107.0,1.0,16.0,0.7867647058823529,0.7426470588235294,0.8235294117647058,0.7867647058823529,0.7426470588235294,0.8235294117647058,101.0,112.0,10.0,16.0,39.0,4504.0,5.0,488.0,1.0,136.0,20922789888000.0,7.7890625,10.0,0.75,0.8125,0.75,0.75,0.8125,0.75,0.0,25.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle17.txt,16.0,231.0,16.0,12.0,4.0,90.234375,0.0,0.0,4.0,0.0,3.0,0.0,15.596473960482221,14.633010626661896,14.461154863979571,1.0935416468216166,1.2093386622447824,1.0,15.0,16.0,12.0,13.0,12.0,4.0,0.0,182.0,0.9163602941176471,4992.0,25.0,48.0,0.0353412,0.005057333333333335,sima
389,3.0,0.0,136.0,1.0,1.0,1.0,6.0,136.0,136.0,8.25,16.0,16.0,16.0,103.0,1.0,16.0,0.7573529411764706,0.8602941176470589,0.7058823529411765,0.7573529411764706,0.8602941176470589,0.7058823529411765,117.0,96.0,4.0,16.0,39.0,4582.0,6.0,410.0,1.0,136.0,20922789888000.0,7.91796875,4.0,0.75,0.8125,0.6875,0.75,0.8125,0.6875,0.0,21.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle18.txt,16.0,235.0,16.0,13.0,4.0,91.796875,0.0,0.0,5.0,0.0,3.0,0.0,13.451301052314605,11.327510759209192,15.076886283314602,0.873212459828649,1.40089257261219,1.0,15.0,16.0,12.0,13.0,11.0,4.0,0.0,149.0,0.9315257352941176,4992.0,21.0,48.0,0.0384965,0.002946333333333333,sima
390,4.0,0.0,136.0,1.0,1.0,1.0,2.0,136.0,136.0,9.0,16.0,16.0,16.0,88.0,1.0,16.0,0.6470588235294118,0.6691176470588235,0.625,0.6470588235294118,0.6691176470588235,0.625,91.0,85.0,9.0,16.0,39.0,4387.0,11.0,605.0,1.0,136.0,20922789888000.0,7.47265625,9.0,0.6875,0.75,0.6875,0.6875,0.75,0.6875,0.0,31.0,20922789888000.0,benchmark_puzzles/benchmarks4x4/10/puzzle19.txt,16.0,225.0,16.0,11.0,4.0,87.890625,0.0,0.0,5.0,0.0,3.0,0.0,21.50436002302789,20.71985762499347,21.44906757880165,1.2365947867699696,1.4361406616345072,1.0,15.0,16.0,11.0,12.0,11.0,4.0,0.0,263.0,0.8791360294117647,4992.0,31.0,48.0,0.038180800000000015,0.03515866666666667,sima
